Emote,Emotion,Description
Kreygasm,Joy,face with a joyful expression indicating excitement
LUL,Joy,laughing face with mouth open and eyes closed
LaundryBasket,Neutral,face with a neutral expression
Lechonk,Joy,face with a joyful expression
LesbianPride,Neutral,pride flag indicating support for lesbian community
LionOfYara,Neutral,face with a neutral expression
MVGame,Joy,face with a joyful expression indicating excitement
Mau5,Neutral,face with a neutral expression
MaxLOL,Joy,face with a joyful expression indicating laughter
MechaRobot,Neutral,face with a neutral expression
MercyWing1,Neutral,face with a neutral expression
MercyWing2,Neutral,face with a neutral expression
MikeHogu,Neutral,face with a neutral expression
MingLee,Joy,face with a joyful expression indicating laughter
ModLove,Joy,face with a joyful expression indicating affection
MorphinTime,Joy,face with a joyful expression indicating excitement
MrDestructoid,Neutral,robotic face indicating neutrality
MyAvatar,Neutral,face with a neutral expression
NewRecord,Joy,face with a joyful expression indicating achievement
NiceTry,Neutral,face with a neutral expression
NinjaGrumpy,Anger,face with a grumpy expression
NomNom,Joy,face with a joyful expression indicating eating
NonbinaryPride,Neutral,pride flag indicating support for nonbinary community
NotATK,Neutral,face with a neutral expression
NotLikeThis,Sadness,face with a sad expression indicating disappointment
O.O,Surprise,face with wide eyes indicating surprise
OSFrog,Neutral,face with a neutral expression
OhMyDog,Joy,face with a joyful expression
OneHand,Neutral,face with a neutral expression
OpieOP,Joy,face with a joyful expression
OptimizePrime,Neutral,robotic face indicating neutrality
PJSalt,Disgust,face with a disgusted expression indicating saltiness
PJSugar,Joy,face with a joyful expression indicating sweetness
PMSTwin,Neutral,face with a neutral expression
PRChase,Neutral,face with a neutral expression
PanicVis,Fear,face with a fearful expression
PansexualPride,Neutral,pride flag indicating support for pansexuality
PartyHat,Joy,face with a joyful expression wearing a party hat
PartyTime,Joy,face with a joyful expression
PeoplesChamp,Joy,face with a joyful expression
PermaSmug,Neutral,face with a neutral expression indicating smugness
PicoMause,Joy,face with a joyful expression
PikaRamen,Joy,face with a joyful expression eating ramen
PinkMercy,Joy,face with a joyful expression
PipeHype,Joy,face with a joyful expression
PixelBob,Neutral,face with a neutral expression
PizzaTime,Joy,face with a joyful expression eating pizza
PogBones,Surprise,face with a surprised expression
PogChamp,Surprise,excited face with mouth open wide in astonishment
Poooound,Neutral,face with a neutral expression
PopCorn,Joy,face with a joyful expression eating popcorn
PopNemo,Neutral,face with a neutral expression
PoroSad,Sadness,face with a sad expression
PotFriend,Joy,face with a joyful expression
PowerUpL,Joy,face with a joyful expression indicating power-up
PowerUpR,Joy,face with a joyful expression indicating power-up
PraiseIt,Joy,face with a joyful expression indicating praise
PrimeMe,Neutral,face with a neutral expression
PunOko,Joy,face with a joyful expression
PunchTrees,Neutral,face with a neutral expression
R),Neutral,face with a neutral expression
ResidentSleeper,Neutral,face with a neutral expression indicating sleepiness
RlTho,Neutral,face with a neutral expression
RaccAttack,Joy,face with a joyful expression
RalpherZ,Neutral,face with a neutral expression
RedCoat,Neutral,face with a neutral expression
RitzMitz,Neutral,face with a neutral expression
RlyTho,Neutral,face with a neutral expression
RuleFive,Neutral,face with a neutral expression
RyuChamp,Joy,face with a joyful expression
SMOrc,Anger,face with an angry expression
SSSssss,Neutral,face with a neutral expression indicating a snake hiss
SUBprise,Surprise,face with a surprised expression
SabaPing,Neutral,face with a neutral expression
SeemsGood,Joy,smiling face indicating approval
SeriousSloth,Neutral,face with a neutral expression
ShadyLulu,Neutral,face with a neutral expression
ShazBotstix,Neutral,face with a neutral expression
Shush,Neutral,face with a neutral expression with a finger over the mouth
SingsMic,Joy,face with a joyful expression holding a microphone
SingsNote,Joy,face with a joyful expression singing
SmoocherZ,Joy,face with puckered lips indicating a kiss
SoBayed,Neutral,face with a neutral expression
SoonerLater,Neutral,face with a neutral expression
Squid1,Neutral,face with a neutral expression
Squid2,Neutral,face with a neutral expression
Squid3,Neutral,face with a neutral expression
Squid4,Neutral,face with a neutral expression
StinkyCheese,Disgust,face with a disgusted expression
StinkyGlitch,Disgust,face with a disgusted expression
StoneLightning,Neutral,face with a neutral expression
StrawBeary,Joy,face with a joyful expression
SuperVinlin,Joy,face with a joyful expression
SwiftRage,Anger,face with an angry expression
TBAngel,Joy,face with a joyful expression
TF2John,Neutral,face with a neutral expression
TPFufun,Neutral,face with a neutral expression
TPerunohyroll,Neutral,face with a neutral expression
TTours,Neutral,face with a neutral expression
TakeNRG,Joy,face with a joyful expression
TearGlove,Neutral,face with a neutral expression
TehePelo,Joy,face with a joyful expression
ThankEgg,Neutral,face with a neutral expression
TheIlluminati,Neutral,face with a neutral expression
TheRinger,Neutral,face with a neutral expression
TheTarFu,Neutral,face with a neutral expression
TheThing,Neutral,face with a neutral expression
ThunBeast,Neutral,face with a neutral expression
TinyFace,Neutral,face with a neutral expression
TombRaid,Neutral,face with a neutral expression
TooSpicy,Neutral,face with a neutral expression
TransgenderPride,Neutral,pride flag indicating support for transgender community
TriHard,Joy,face with a joyful expression
TwitchConHYPE,Joy,face with a joyful expression indicating excitement
TwitchLit,Joy,face with a joyful expression
TwitchRPG,Neutral,face with a neutral expression
TwitchSings,Joy,face with a joyful expression singing
TwitchUnity,Neutral,face with a neutral expression indicating unity
TwitchVotes,Neutral,face with a neutral expression
UWot,Neutral,face with a neutral expression
UnSane,Neutral,face with a neutral expression
UncleNox,Neutral,face with a neutral expression
VirtualHug,Joy,face with a joyful expression indicating a hug
VoHiYo,Neutral,face with a neutral expression
VoteNay,Neutral,face with a neutral expression
VoteYea,Neutral,face with a neutral expression
WTRuck,Neutral,face with a neutral expression
WholeWheat,Neutral,face with a neutral expression
WhySoSerious,Neutral,face with a neutral expression
WutFace,Fear,face with a fearful expression
YouDontSay,Neutral,face with a neutral expression
YouWHY,Surprise,face with a surprised expression
bleedPurple,Neutral,face with a neutral expression
cmonBruh,Neutral,face with a neutral expression
copyThis,Neutral,face with a neutral expression
duDudu,Neutral,face with a neutral expression
imGlitch,Neutral,face with a neutral expression
mcaT,Neutral,face with a neutral expression
o.0,Surprise,face with wide eyes indicating surprise
o_O,Surprise,face with wide eyes indicating surprise
panicBasket,Fear,face with a fearful expression
pastaThat,Neutral,face with a neutral expression
riPepperonis,Sadness,face with a sad expression indicating rest in peace
twitchRaid,Joy,face with a joyful expression indicating a raid
GIGACHAD,Joy,face with a joyful expression indicating admiration
BOOBA,Surprise,face with a surprised expression
NOOOO,Sadness,face with a sad expression indicating frustration
peepoShy,Neutral,face with a neutral expression indicating shyness
COPIUM,Neutral,face with a neutral expression
Prayge,Neutral,face with a neutral expression indicating praying
Bedge,Sadness,face with a sad expression indicating tiredness
NODDERS,Joy,face with a joyful expression nodding
OMEGALUL,Joy,face with a joyful expression laughing
SUSSY,Neutral,face with a neutral expression
peepoHey,Joy,face with a joyful expression indicating greeting
Madge,Anger,face with an angry expression
donowall,Neutral,face with a neutral expression
DIESOFCRINGE,Disgust,face with a disgusted expression
Clueless,Neutral,face with a neutral expression indicating confusion
Hmm,Neutral,face with a neutral expression indicating thinking
peepoDJ,Joy,face with a joyful expression indicating dancing
ratJAM,Joy,face with a joyful expression indicating dancing
pepeJAM,Joy,face with a joyful expression indicating dancing
Aware,Neutral,face with a neutral expression indicating awareness
pepeoClap,Joy,face with a joyful expression indicating clapping
POGGIES,Surprise,face with a surprised expression indicating excitement
peepoGiggles,Joy,face with a joyful expression giggling
YEP,Joy,face with a joyful expression nodding
rSnowWolf,Neutral,face with a neutral expression
daledro,Neutral,face with a neutral expression
ShakoTheWacko,Neutral,face with a neutral expression
MegaKit3,Neutral,face with a neutral expression
peepoClap,Joy,face with a joyful expression clapping
RodriAnSel,Neutral,face with a neutral expression
SimonK06,Neutral,face with a neutral expression
HotBear1110,Neutral,face with a neutral expression
LETSGO,Joy,face with a joyful expression indicating excitement
muted,Neutral,face with a neutral expression
xdd,Joy,face with a joyful expression laughing
PepegaAim,Neutral,face with a neutral expression indicating aiming
Pog,Surprise,face with a surprised expression indicating excitement
lebronJAM,Joy,face with a joyful expression indicating dancing
monkaW,Fear,face with a fearful expression
PETTHEMODS,Joy,face with a joyful expression indicating appreciation
AINTNOWAY,Surprise,face with a surprised expression
PepeLaugh,Joy,face with a joyful expression laughing
SadgeCry,Sadness,face with a sad expression crying
monkaSTEER,Fear,face with a fearful expression
SNIFFA,Neutral,face with a neutral expression
peepoBye,Neutral,face with a neutral expression indicating farewell
MONKE,Neutral,face with a neutral expression
RAGEY,Anger,face with an angry expression
PogU,Surprise,face with a surprised expression indicating excitement
peepoRiot,Neutral,face with a neutral expression indicating a riot
5Head,Joy,face with a joyful expression indicating intelligence
HACKERMANS,Joy,face with a joyful expression indicating hacking skills
HUH,Surprise,face with a surprised expression indicating confusion
Pepega,Neutral,face with a neutral expression
OOOO,Surprise,face with a surprised expression
pepoTalk,Neutral,face with a neutral expression indicating talking
k_ekw,Joy,face with a joyful expression laughing
JustRogan,Neutral,face with a neutral expression
numrii,Neutral,face with a neutral expression
TemperxPK,Neutral,face with a neutral expression
rupusen,Neutral,face with a neutral expression
mFLASHr,Neutral,face with a neutral expression
yruversz,Neutral,face with a neutral expression
pepeDJ,Joy,face with a joyful expression indicating dancing
peepoChat,Neutral,face with a neutral expression indicating chatting
TrollDespair,Sadness,face with a sad expression
peepoFAT,Neutral,face with a neutral expression
PeepoFinger,Neutral,face with a neutral expression indicating pointing
POGGERS,Surprise,face with a surprised expression indicating excitement
Chatting,Neutral,face with a neutral expression indicating chatting
SCAMMED,Disgust,face with a disgusted expression indicating being scammed
ok,Neutral,face with a neutral expression
peepoRun,Neutral,face with a neutral expression indicating running
BLANKIES,Neutral,face with a neutral expression indicating being cozy
THIS,Neutral,face with a neutral expression indicating pointing
RIPBOZO,Neutral,face with a neutral expression indicating rest in peace
MLADY,Neutral,face with a neutral expression indicating greeting
VIBE,Joy,face with a joyful expression indicating good vibes
D:,Sadness,face with a sad expression indicating shock
LETHIMCOOK,Neutral,face with a neutral expression indicating cooking
ICANT,Sadness,face with a sad expression indicating frustration
EZ,Joy,face with a joyful expression indicating ease
WHAT,Surprise,face with a surprised expression indicating confusion
classic,Neutral,face with a neutral expression indicating classic
NOWAYING,Surprise,face with a surprised expression indicating disbelief
COCKA,Neutral,face with a neutral expression
Mauriples,Neutral,face with a neutral expression
SerApoliyon,Neutral,face with a neutral expression
dor4k,Neutral,face with a neutral expression
Kh4N_02,Neutral,face with a neutral expression
kalorxd,Neutral,face with a neutral expression
7JEO,Neutral,face with a neutral expression
LiptonGod,Neutral,face with a neutral expression
orkel_jodok,Neutral,face with a neutral expression
